Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
1 bowl of brown rice and sambar,100,2.5,20.0,0.5,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,260,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,105.49,Breakfast
1 bowl of brown rice with matki sambar,130,3.0,24.0,3.5,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Low-fat Paneer Tikka,"Leafy Greens, Legumes, Spices","Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,344,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,129.93,Beverage
1 bowl of Oats Upma,140,5.0,22.0,4.0,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Oats Kichadi,"Vegetables, Legumes, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,201,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,135.82,
1 bowl of rice Green Gram Curry,105,7.0,16.0,0.5,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Pulao ,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,350,46,Lunch,1 medium serving,Consume freshly prepared for best benefits,100.66,
1 Ragi Mudde with sambar,110,2.5,20.0,1.0,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,295,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,116.88,Beverage
2 Besan Chilla ,120,6.0,14.0,4.0,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Bitter Gourd Stir Fry ,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,161,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,110.18,Dinner
1 cup of Vegetable Soup,35,1.5,6.0,0.3,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable pulav,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,201,51,Lunch,1 medium serving,Consume freshly prepared for best benefits,35.95,
4 Khaman Dhokla,140,5.0,18.0,5.0,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with palak sabji ,"Spices, Vegetables, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,289,30,Dinner,1 medium serving,Consume freshly prepared for best benefits,131.27,Beverage
1bowl of rice and Beetroot Curry ,45,2.0,4.0,1.5,Katu,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with matki sabji ,"Whole Grains, Low-fat Dairy, Legumes","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,297,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,49.19,
1 roti dal and bowl of rice,19,0.7,3.7,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Low-fat Dairy, Leafy Greens, Spices","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,135,50,Dinner,1 medium serving,Consume freshly prepared for best benefits,20.47,Dinner
2 rava uttapam,80,3.0,12.0,1.0,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",3 idli with sambar,"Legumes, Spices, Leafy Greens","High in protein and fiber, slows glucose absorption; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,239,48,Breakfast,1 medium serving,Consume freshly prepared for best benefits,86.0,Snack
1 bowl of Tamarind Rice (Low Oil),130,3.0,22.0,2.5,Amla,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with brinjal sabji,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,300,54,Lunch,1 medium serving,Consume freshly prepared for best benefits,138.11,Snack
1 bowl of Low-Fat Vegetable Pulao,150,4.0,26.0,3.0,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Pumpkin Paratha,"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,127,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,135.1,
3  Vegetable Steamed Momos,110,3.5,18.0,2.0,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Quinoa Upma,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,267,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,108.57,
2 roti with Vegetable Kurma,127,8.7,22.8,0.5,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati Green Gram Curry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,296,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,114.6,
1 bowl of rava upma ,105,7.0,19.0,0.5,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Rich in protein, aids digestion, and balances Vata",2 Methi Thepla with ghee,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,182,48,Breakfast,1 medium serving,Consume freshly prepared for best benefits,115.28,Snack
1 bowl of poha,18,0.6,3.5,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"Cools the body, supports weight loss, and improves digestion",2 besan chilla with ghee,"Legumes, Whole Grains, Spices","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,276,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,16.43,Dinner
3 rava idli with coconut chutney,40,1.0,8.0,0.3,Kashaya,Sheeta,Katu,Balances Pitta,Weight Loss,"Low in calories, good for hydration, and balances Pitta",2 Moong Dal Chilla,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,137,39,Breakfast,1 medium serving,Consume freshly prepared for best benefits,37.23,
1 bowl of Plain Khichdi with 1 bowl of vegetable sald ,110,3.0,20.0,2.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Easy to digest, nourishes the body, and balances Vata",2 roti with bindi sabji,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,149,36,Lunch,1 medium serving,Consume freshly prepared for best benefits,120.53,
1 handful of mixed seeds ,45,3.0,6.5,0.4,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"Rich in iron, detoxifies the body, and balances Pitta",1 bowl Oats Idli,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,147,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,48.88,
1 bowl of roasted makhana,30,1.2,5.0,0.3,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Besan Chilla,"Leafy Greens, Spices, Vegetables","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,146,39,Lunch,1 medium serving,Consume freshly prepared for best benefits,30.46,
1 bowl of vegetable biryani with less oil,41,0.9,9.6,0.2,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Palak Paneer (Low-fat),"Leafy Greens, Vegetables, Low-fat Dairy","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,145,35,Lunch,1 medium serving,Consume freshly prepared for best benefits,41.59,
2 roti with bindi sabji,14,0.6,3.4,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Tofu Bhurji,"Low-fat Dairy, Spices, Whole Grains","Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,324,36,Dinner,1 medium serving,Consume freshly prepared for best benefits,13.97,
2 roti with Karela Sabzi and bowl of salad,17,1.0,3.7,0.2,Tikta,Ushna,Katu,Balances Kapha & Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Khichdi,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,326,55,Lunch,1 medium serving,Consume freshly prepared for best benefits,17.74,Snack
2 palak paratha with chutney,115,9.0,20.0,0.8,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Brown Rice Pulao,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,222,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,104.46,
2 roti and mixed veg curry and Cucumber Salad,12,0.6,2.5,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,311,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,12.82,
